year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,5,10,20.8,24.9,12:00p,18.3,6:00a,0,2.5,2.8,1.4,19.3,8:00p,NNW
2005,5,11,21.1,26.6,12:00p,19.1,6:00p,0,2.8,0.8,2.4,19.3,6:00p,NNW
2005,5,12,21.1,26.6,2:00p,17.9,10:00p,0.1,2.8,6.6,2.3,19.3,10:00a,SSW
2005,5,13,21.1,26.6,2:00p,18.1,6:00a,0,2.8,46,1.6,19.3,2:00p,SSW
2005,5,14,19.9,27.1,12:00p,18.1,4:00a,0,1.6,32.5,2.3,20.9,2:00p,SE
2005,5,15,19.5,23.1,2:00p,18.1,12:00m,0,1.2,27.4,2.1,19.3,12:00p,NNW
2005,5,16,19.3,23.8,12:00p,17.4,4:00a,0.1,1.1,17.3,2.4,20.9,2:00p,NNW
2005,5,17,19.8,24.7,12:00p,17.9,6:00a,0,1.5,45.5,1.6,20.9,8:00a,SSW
2005,5,18,20.8,27.6,12:00p,18.4,4:00a,0,2.5,1.8,2.9,19.3,12:00p,NNW
2005,5,19,20.4,25.4,10:00a,18.4,6:00a,0,2.1,9.1,2.4,17.7,2:00a,NNW
2005,5,20,19.7,24.7,12:00p,18.1,12:00m,0,1.4,27.2,3.1,20.9,10:00p,NNW
2005,5,21,19.9,24.5,10:00a,17.5,6:00a,0.2,1.7,3.6,2.9,20.9,8:00p,NNW
2005,5,22,19.7,23.9,10:00a,18.5,2:00a,0,1.4,15.2,3.4,20.9,6:00p,NNW
2005,5,23,19,24.3,12:00p,17.3,12:00m,0.2,0.9,55.1,2.6,17.7,6:00a,NNW
2005,5,24,20,25.2,10:00a,16.4,4:00a,0.3,1.9,29.2,2.4,16.1,4:00a,NNW
2005,5,25,20.9,26.1,4:00p,18.1,6:00a,0,2.6,3.8,1.6,12.9,2:00a,NNW
2005,5,26,20.7,25.8,12:00p,18.3,6:00a,0,2.4,8.9,1.9,27.4,8:00p,SSW
2005,5,27,20.8,25.8,12:00p,18.9,6:00a,0,2.5,0.8,1.4,17.7,8:00p,NNW
2005,5,28,20.9,25,12:00p,18.7,6:00a,0,2.6,0.3,1.4,16.1,2:00p,NNW
2005,5,29,21.6,26.6,2:00p,18.2,6:00a,0,3.2,1.5,1.9,19.3,10:00a,NW
